NAICS.id,Description
334517,Irradiation Apparatus Manufacturing
334519,Other Measuring and Controlling Device Manufacturing
334613,Blank Magnetic and Optical Recording Media Manufacturing
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing "
335110,Electric Lamp Bulb and Part Manufacturing
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
335311,"Power, Distribution, and Specialty Transformer Manufacturing"
335312,Motor and Generator Manufacturing
335313,Switchgear and Switchboard Apparatus Manufacturing
335314,Relay and Industrial Control Manufacturing
335911,Storage Battery Manufacturing
335912,Primary Battery Manufacturing
335921,Fiber Optic Cable Manufacturing
336112,Light Truck and Utility Vehicle Manufacturing
336120,Heavy Duty Truck Manufacturing
336211,Motor Vehicle Body Manufacturing
336212,Truck Trailer Manufacturing
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
336340,Motor Vehicle Brake System Manufacturing
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
336360,Motor Vehicle Seating and Interior Trim Manufacturing
336370,Motor Vehicle Metal Stamping
336390,Other Motor Vehicle Parts Manufacturing
336411,Aircraft Manufacturing
336412,Aircraft Engine and Engine Parts Manufacturing
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
336414,Guided Missile and Space Vehicle Manufacturing
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
336510,Railroad Rolling Stock Manufacturing
336611,Ship Building and Repairing
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
339112,Surgical and Medical Instrument Manufacturing
339113,Surgical Appliance and Supplies Manufacturing
482111,Line-Haul Railroads
482112,Short Line Railroads
483111,Deep Sea Freight Transportation
483113,Coastal and Great Lakes Freight Transportation
483211,Inland Water Freight Transportation
483212,Inland Water Passenger Transportation
484110,"General Freight Trucking, Local"
484121,"General Freight Trucking, Long-Distance, Truckload"
485112,Commuter Rail Systems
485113,Bus and Other Motor Vehicle Transit Systems
485210,Interurban and Rural Bus Transportation
486110,Pipeline Transportation of Crude Oil
486210,Pipeline Transportation of Natural Gas
486910,Pipeline Transportation of Refined Petroleum Products
488111,Air Traffic Control
488310,Port and Harbor Operations
488320,Marine Cargo Handling
517410,Satellite Telecommunications
518210,"Data Processing, Hosting, and Related Services"
519130,Internet Publishing and Broadcasting and Web Search Portals
521110,Monetary Authorities-Central Bank
541360,Geophysical Surveying and Mapping Services
541370,Surveying and Mapping (except Geophysical) Services
541380,Testing Laboratories
621111,Offices of Physicians (except Mental Health Specialists)
621210,Offices of Dentists
621320,Offices of Optometrists
621391,Offices of Podiatrists
622110,General Medical and Surgical Hospitals
927110,Space Research and Technology
928110,National Security
928120,International Affairs
