"","GEO.display.label","NAICS.id","NAICS.display.label","EMP"
"723","Alabama","336411","Aircraft manufacturing","1587"
"725","Alabama","336413","Other aircraft parts and auxiliary equipment manufacturing","1681"
"726","Alabama","336414","Guided missile and space vehicle manufacturing","1896"
"734","Alabama","336611","Ship building and repairing","4816"
"1138","Alabama","483211","Inland water freight transportation","354"
"1139","Alabama","483212","Inland water passenger transportation","4"
"1143","Alabama","484110","General freight trucking, local","3602"
"1145","Alabama","484121","General freight trucking, long-distance, truckload","11639"
"1157","Alabama","485113","Bus and other motor vehicle transit systems","286"
"1179","Alabama","486110","Pipeline transportation of crude oil","140"
"1182","Alabama","486210","Pipeline transportation of natural gas","599"
"1303","Alabama","518210","Data processing, hosting, and related services","3597"
"1311","Alabama","519130","Internet publishing and broadcasting and web search portals","207"
"1469","Alabama","541370","Surveying and mapping (except geophysical) services","603"
"1669","Alabama","621111","Offices of physicians (except mental health specialists)","33144"
"1678","Alabama","621320","Offices of optometrists","1795"
"1684","Alabama","621391","Offices of podiatrists","460"
"1711","Alabama","622110","General medical and surgical hospitals","79577"
"2342","Alaska","336413","Other aircraft parts and auxiliary equipment manufacturing","33"
"2714","Alaska","484110","General freight trucking, local","476"
"2716","Alaska","484121","General freight trucking, long-distance, truckload","953"
"2758","Alaska","486910","Pipeline transportation of refined petroleum products","45"
"2781","Alaska","488310","Port and harbor operations","582"
"2783","Alaska","488320","Marine cargo handling","334"
"2870","Alaska","518210","Data processing, hosting, and related services","178"
"3024","Alaska","541360","Geophysical surveying and mapping services","250"
"3026","Alaska","541370","Surveying and mapping (except geophysical) services","489"
"3028","Alaska","541380","Testing laboratories","784"
"3218","Alaska","621111","Offices of physicians (except mental health specialists)","4606"
"3222","Alaska","621210","Offices of dentists","2385"
"3227","Alaska","621320","Offices of optometrists","291"
"3233","Alaska","621391","Offices of podiatrists","43"
"3260","Alaska","622110","General medical and surgical hospitals","12794"
"3838","Arizona","325211","Plastics material and resin manufacturing","193"
"3851","Arizona","325412","Pharmaceutical preparation manufacturing","1486"
"3939","Arizona","331110","Iron and steel mills and ferroalloy manufacturing","190"
"3942","Arizona","331210","Iron and steel pipe and tube manufacturing from purchased steel","205"
"3973","Arizona","332114","Custom roll forming","447"
"3991","Arizona","332420","Metal tank (heavy gauge) manufacturing","73"
"3997","Arizona","332510","Hardware manufacturing","212"
"4007","Arizona","332722","Bolt, nut, screw, rivet, and washer manufacturing","578"
"4010","Arizona","332811","Metal heat treating","147"
"4011","Arizona","332812","Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","677"
"4012","Arizona","332813","Electroplating, plating, polishing, anodizing, and coloring","533"
"4022","Arizona","332994","Small arms, ordnance, and ordnance accessories manufacturing","1480"
"4037","Arizona","333242","Semiconductor machinery manufacturing","146"
"4053","Arizona","333511","Industrial mold manufacturing","506"
"4054","Arizona","333514","Special die and tool, die set, jig, and fixture manufacturing","174"
"4055","Arizona","333515","Cutting tool and machine tool accessory manufacturing","141"
"4060","Arizona","333611","Turbine and turbine generator set units manufacturing","171"
"4091","Arizona","334220","Radio and television broadcasting and wireless communications equipment manufacturing","868"
"4096","Arizona","334310","Audio and video equipment manufacturing","83"
"4099","Arizona","334412","Bare printed circuit board manufacturing","590"
"4100","Arizona","334413","Semiconductor and related device manufacturing","5308"
"4101","Arizona","334416","Capacitor, resistor, coil, transformer, and other inductor manufacturing","232"
"4103","Arizona","334418","Printed circuit assembly (electronic assembly) manufacturing","1390"
"4108","Arizona","334511","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing","7915"
"4115","Arizona","334519","Other measuring and controlling device manufacturing","341"
"4123","Arizona","335122","Commercial, industrial, and institutional electric lighting fixture manufacturing","201"
"4156","Arizona","336211","Motor vehicle body manufacturing","558"
"4157","Arizona","336212","Truck trailer manufacturing","93"
"4164","Arizona","336320","Motor vehicle electrical and electronic equipment manufacturing","60"
"4170","Arizona","336350","Motor vehicle transmission and power train parts manufacturing","75"
"4181","Arizona","336413","Other aircraft parts and auxiliary equipment manufacturing","1650"
"4221","Arizona","339112","Surgical and medical instrument manufacturing","1578"
"4597","Arizona","484110","General freight trucking, local","2614"
"4599","Arizona","484121","General freight trucking, long-distance, truckload","9532"
"4665","Arizona","488320","Marine cargo handling","181"
"4763","Arizona","518210","Data processing, hosting, and related services","8979"
"4771","Arizona","519130","Internet publishing and broadcasting and web search portals","706"
"4934","Arizona","541370","Surveying and mapping (except geophysical) services","631"
"4936","Arizona","541380","Testing laboratories","1600"
"5133","Arizona","621111","Offices of physicians (except mental health specialists)","40094"
"5137","Arizona","621210","Offices of dentists","16897"
"5142","Arizona","621320","Offices of optometrists","1999"
"5148","Arizona","621391","Offices of podiatrists","572"
"5176","Arizona","622110","General medical and surgical hospitals","96373"
"5766","Arkansas","325211","Plastics material and resin manufacturing","172"
"5863","Arkansas","331110","Iron and steel mills and ferroalloy manufacturing","2814"
"5869","Arkansas","331222","Steel wire drawing","1323"
"5890","Arkansas","331523","Nonferrous metal die-casting foundries","806"
"5915","Arkansas","332420","Metal tank (heavy gauge) manufacturing","244"
"5930","Arkansas","332722","Bolt, nut, screw, rivet, and washer manufacturing","136"
"5934","Arkansas","332812","Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","232"
"5935","Arkansas","332813","Electroplating, plating, polishing, anodizing, and coloring","87"
"5945","Arkansas","332994","Small arms, ordnance, and ordnance accessories manufacturing","169"
"5974","Arkansas","333511","Industrial mold manufacturing","52"
"5975","Arkansas","333514","Special die and tool, die set, jig, and fixture manufacturing","150"
"5976","Arkansas","333515","Cutting tool and machine tool accessory manufacturing","529"
"5983","Arkansas","333613","Mechanical power transmission equipment manufacturing","140"
"6011","Arkansas","334416","Capacitor, resistor, coil, transformer, and other inductor manufacturing","115"
"6043","Arkansas","335314","Relay and industrial control manufacturing","172"
"6061","Arkansas","336211","Motor vehicle body manufacturing","152"
"6070","Arkansas","336330","Motor vehicle steering and suspension components (except spring) manufacturing","1545"
"6072","Arkansas","336340","Motor vehicle brake system manufacturing","77"
"6080","Arkansas","336390","Other motor vehicle parts manufacturing","2653"
"6093","Arkansas","336611","Ship building and repairing","52"
"6124","Arkansas","339113","Surgical appliance and supplies manufacturing","238"
"6494","Arkansas","484110","General freight trucking, local","2180"
"6496","Arkansas","484121","General freight trucking, long-distance, truckload","17326"
"6508","Arkansas","485113","Bus and other motor vehicle transit systems","111"
"6533","Arkansas","486210","Pipeline transportation of natural gas","507"
"6558","Arkansas","488310","Port and harbor operations","60"
"6560","Arkansas","488320","Marine cargo handling","32"
"6656","Arkansas","518210","Data processing, hosting, and related services","6183"
"6664","Arkansas","519130","Internet publishing and broadcasting and web search portals","55"
"6821","Arkansas","541370","Surveying and mapping (except geophysical) services","499"
"6823","Arkansas","541380","Testing laboratories","1089"
"7020","Arkansas","621111","Offices of physicians (except mental health specialists)","18143"
"7024","Arkansas","621210","Offices of dentists","6757"
"7029","Arkansas","621320","Offices of optometrists","1442"
"7035","Arkansas","621391","Offices of podiatrists","281"
"7063","Arkansas","622110","General medical and surgical hospitals","50901"
"7375","California","221114","Solar electric power generation","296"
"7376","California","221115","Wind electric power generation","631"
"7378","California","221117","Biomass electric power generation","34"
"7691","California","325211","Plastics material and resin manufacturing","3097"
"7692","California","325212","Synthetic rubber manufacturing","846"
"7704","California","325411","Medicinal and botanical manufacturing","5693"
"7724","California","325920","Explosives manufacturing","412"
"7751","California","326211","Tire manufacturing (except retreading)","99"
"7796","California","331110","Iron and steel mills and ferroalloy manufacturing","2492"
"7799","California","331210","Iron and steel pipe and tube manufacturing from purchased steel","843"
"7801","California","331221","Rolled steel shape manufacturing","313"
"7802","California","331222","Steel wire drawing","588"
"7805","California","331313","Alumina refining and primary aluminum production","162"
"7819","California","331511","Iron foundries","978"
"7821","California","331513","Steel foundries (except investment)","1597"
"7823","California","331523","Nonferrous metal die-casting foundries","1653"
"7824","California","331524","Aluminum foundries (except die-casting)","1257"
"7825","California","331529","Other nonferrous metal foundries (except die-casting)","283"
"7829","California","332111","Iron and steel forging","1561"
"7831","California","332114","Custom roll forming","1192"
"7832","California","332117","Powder metallurgy part manufacturing","322"
"7849","California","332410","Power boiler and heat exchanger manufacturing","604"
"7851","California","332420","Metal tank (heavy gauge) manufacturing","1354"
"7857","California","332510","Hardware manufacturing","2299"
"7867","California","332722","Bolt, nut, screw, rivet, and washer manufacturing","8490"
"7870","California","332811","Metal heat treating","1960"
"7871","California","332812","Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","5258"
"7872","California","332813","Electroplating, plating, polishing, anodizing, and coloring","8767"
"7880","California","332991","Ball and roller bearing manufacturing","768"
"7899","California","333242","Semiconductor machinery manufacturing","5000"
"7915","California","333511","Industrial mold manufacturing","2577"
"7916","California","333514","Special die and tool, die set, jig, and fixture manufacturing","1835"
"7917","California","333515","Cutting tool and machine tool accessory manufacturing","1992"
"7918","California","333517","Machine tool manufacturing","2381"
"7919","California","333519","Rolling mill and other metalworking machinery manufacturing","286"
"7922","California","333611","Turbine and turbine generator set units manufacturing","6621"
"7923","California","333612","Speed changer, industrial high-speed drive, and gear manufacturing","232"
"7924","California","333613","Mechanical power transmission equipment manufacturing","1094"
"7928","California","333911","Pump and pumping equipment manufacturing","2152"
"7929","California","333912","Air and gas compressor manufacturing","970"
"7948","California","334111","Electronic computer manufacturing","5981"
"7950","California","334118","Computer terminal and other computer peripheral equipment manufacturing","2845"
"7955","California","334220","Radio and television broadcasting and wireless communications equipment manufacturing","26441"
"7960","California","334310","Audio and video equipment manufacturing","2991"
"7963","California","334412","Bare printed circuit board manufacturing","7781"
"7964","California","334413","Semiconductor and related device manufacturing","18988"
"7965","California","334416","Capacitor, resistor, coil, transformer, and other inductor manufacturing","3345"
"7966","California","334417","Electronic connector manufacturing","5964"
"7967","California","334418","Printed circuit assembly (electronic assembly) manufacturing","12381"
"7972","California","334511","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing","18613"
"7974","California","334513","Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables","3013"
"7975","California","334514","Totalizing fluid meter and counting device manufacturing","852"
"7976","California","334515","Instrument manufacturing for measuring and testing electricity and electrical systems","9375"
"7977","California","334516","Analytical laboratory instrument manufacturing","11406"
"7978","California","334517","Irradiation apparatus manufacturing","2779"
"7979","California","334519","Other measuring and controlling device manufacturing","4353"
"7982","California","334613","Blank magnetic and optical recording media manufacturing","183"
"7983","California","334614","Software and other prerecorded compact disc, tape, and record reproducing","2048"
"7987","California","335110","Electric lamp bulb and part manufacturing","335"
"7990","California","335122","Commercial, industrial, and institutional electric lighting fixture manufacturing","3259"
"8002","California","335312","Motor and generator manufacturing","1492"
"8003","California","335313","Switchgear and switchboard apparatus manufacturing","2664"
"8004","California","335314","Relay and industrial control manufacturing","3546"
"8007","California","335911","Storage battery manufacturing","894"
"8008","California","335912","Primary battery manufacturing","230"
"8022","California","336112","Light truck and utility vehicle manufacturing","142"
"8027","California","336211","Motor vehicle body manufacturing","2989"
"8028","California","336212","Truck trailer manufacturing","465"
"8033","California","336310","Motor vehicle gasoline engine and engine parts manufacturing","2429"
"8035","California","336320","Motor vehicle electrical and electronic equipment manufacturing","1630"
"8037","California","336330","Motor vehicle steering and suspension components (except spring) manufacturing","588"
"8039","California","336340","Motor vehicle brake system manufacturing","614"
"8041","California","336350","Motor vehicle transmission and power train parts manufacturing","1162"
"8043","California","336360","Motor vehicle seating and interior trim manufacturing","1711"
"8047","California","336390","Other motor vehicle parts manufacturing","7065"
"8050","California","336411","Aircraft manufacturing","17025"
"8051","California","336412","Aircraft engine and engine parts manufacturing","4117"
"8052","California","336413","Other aircraft parts and auxiliary equipment manufacturing","23103"
"8053","California","336414","Guided missile and space vehicle manufacturing","8370"
"8055","California","336419","Other guided missile and space vehicle parts and auxiliary equipment manufacturing","1543"
"8061","California","336611","Ship building and repairing","11755"
"8092","California","339112","Surgical and medical instrument manufacturing","21233"
"8093","California","339113","Surgical appliance and supplies manufacturing","16847"
"8461","California","483111","Deep sea freight transportation","2431"
"8468","California","483212","Inland water passenger transportation","544"
"8472","California","484110","General freight trucking, local","26854"
"8474","California","484121","General freight trucking, long-distance, truckload","22453"
"8544","California","488320","Marine cargo handling","18759"
"8637","California","517410","Satellite telecommunications","1174"
"8645","California","518210","Data processing, hosting, and related services","70508"
"8653","California","519130","Internet publishing and broadcasting and web search portals","59638"
"8817","California","541360","Geophysical surveying and mapping services","360"
"8819","California","541370","Surveying and mapping (except geophysical) services","2382"
"8821","California","541380","Testing laboratories","17021"
"9019","California","621111","Offices of physicians (except mental health specialists)","259823"
"9023","California","621210","Offices of dentists","120110"
"9028","California","621320","Offices of optometrists","13436"
"9034","California","621391","Offices of podiatrists","2649"
"9062","California","622110","General medical and surgical hospitals","493905"
"9346","Colorado","212291","Uranium-radium-vanadium ore mining","96"
"9377","Colorado","221114","Solar electric power generation","13"
"9668","Colorado","325211","Plastics material and resin manufacturing","115"
"9679","Colorado","325411","Medicinal and botanical manufacturing","278"
"9795","Colorado","331523","Nonferrous metal die-casting foundries","52"
"9797","Colorado","331529","Other nonferrous metal foundries (except die-casting)","48"
"9804","Colorado","332117","Powder metallurgy part manufacturing","22"
"9843","Colorado","332812","Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","398"
"9844","Colorado","332813","Electroplating, plating, polishing, anodizing, and coloring","326"
"9853","Colorado","332992","Small arms ammunition manufacturing","4"
"9871","Colorado","333242","Semiconductor machinery manufacturing","118"
"9886","Colorado","333511","Industrial mold manufacturing","485"
"9917","Colorado","334111","Electronic computer manufacturing","92"
"9919","Colorado","334118","Computer terminal and other computer peripheral equipment manufacturing","321"
"9924","Colorado","334220","Radio and television broadcasting and wireless communications equipment manufacturing","503"
"9929","Colorado","334310","Audio and video equipment manufacturing","86"
"9932","Colorado","334412","Bare printed circuit board manufacturing","841"
"9936","Colorado","334418","Printed circuit assembly (electronic assembly) manufacturing","386"
"9940","Colorado","334510","Electromedical and electrotherapeutic apparatus manufacturing","923"
"9943","Colorado","334513","Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables","2587"
"9945","Colorado","334515","Instrument manufacturing for measuring and testing electricity and electrical systems","321"
"9948","Colorado","334519","Other measuring and controlling device manufacturing","667"
"9957","Colorado","335122","Commercial, industrial, and institutional electric lighting fixture manufacturing","338"
"9968","Colorado","335313","Switchgear and switchboard apparatus manufacturing","293"
"9969","Colorado","335314","Relay and industrial control manufacturing","123"
"9989","Colorado","336211","Motor vehicle body manufacturing","379"
"9995","Colorado","336310","Motor vehicle gasoline engine and engine parts manufacturing","52"
"10014","Colorado","336413","Other aircraft parts and auxiliary equipment manufacturing","423"
"10020","Colorado","336510","Railroad rolling stock manufacturing","75"
"10423","Colorado","484110","General freight trucking, local","3155"
"10425","Colorado","484121","General freight trucking, long-distance, truckload","4212"
"10467","Colorado","486910","Pipeline transportation of refined petroleum products","91"
"10586","Colorado","518210","Data processing, hosting, and related services","14129"
"10594","Colorado","519130","Internet publishing and broadcasting and web search portals","2728"
"10755","Colorado","541360","Geophysical surveying and mapping services","729"
"10757","Colorado","541370","Surveying and mapping (except geophysical) services","2063"
"10759","Colorado","541380","Testing laboratories","1590"
"10956","Colorado","621111","Offices of physicians (except mental health specialists)","37093"
"10960","Colorado","621210","Offices of dentists","16391"
"10965","Colorado","621320","Offices of optometrists","2268"
"10971","Colorado","621391","Offices of podiatrists","399"
"10999","Colorado","622110","General medical and surgical hospitals","68187"
"11580","Connecticut","325211","Plastics material and resin manufacturing","680"
"11624","Connecticut","326130","Laminated plastics plate, sheet (except packaging), and shape manufacturing","134"
"11672","Connecticut","331221","Rolled steel shape manufacturing","427"
"11673","Connecticut","331222","Steel wire drawing","384"
"11691","Connecticut","331523","Nonferrous metal die-casting foundries","59"
"11692","Connecticut","331524","Aluminum foundries (except die-casting)","49"
"11699","Connecticut","332114","Custom roll forming","164"
"11700","Connecticut","332117","Powder metallurgy part manufacturing","216"
"11719","Connecticut","332420","Metal tank (heavy gauge) manufacturing","38"
"11725","Connecticut","332510","Hardware manufacturing","1509"
"11735","Connecticut","332722","Bolt, nut, screw, rivet, and washer manufacturing","976"
"11738","Connecticut","332811","Metal heat treating","448"
"11739","Connecticut","332812","Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","1328"
"11740","Connecticut","332813","Electroplating, plating, polishing, anodizing, and coloring","1670"
"11748","Connecticut","332991","Ball and roller bearing manufacturing","984"
"11751","Connecticut","332994","Small arms, ordnance, and ordnance accessories manufacturing","921"
"11783","Connecticut","333511","Industrial mold manufacturing","524"
"11784","Connecticut","333514","Special die and tool, die set, jig, and fixture manufacturing","526"
"11785","Connecticut","333515","Cutting tool and machine tool accessory manufacturing","784"
"11787","Connecticut","333519","Rolling mill and other metalworking machinery manufacturing","413"
"11790","Connecticut","333611","Turbine and turbine generator set units manufacturing","585"
"11792","Connecticut","333613","Mechanical power transmission equipment manufacturing","708"
"11796","Connecticut","333911","Pump and pumping equipment manufacturing","213"
"11815","Connecticut","334111","Electronic computer manufacturing","22"
"11816","Connecticut","334118","Computer terminal and other computer peripheral equipment manufacturing","307"
"11821","Connecticut","334220","Radio and television broadcasting and wireless communications equipment manufacturing","599"
"11826","Connecticut","334310","Audio and video equipment manufacturing","51"
"11829","Connecticut","334412","Bare printed circuit board manufacturing","668"
"11831","Connecticut","334416","Capacitor, resistor, coil, transformer, and other inductor manufacturing","410"
"11832","Connecticut","334417","Electronic connector manufacturing","284"
"11833","Connecticut","334418","Printed circuit assembly (electronic assembly) manufacturing","902"
"11837","Connecticut","334510","Electromedical and electrotherapeutic apparatus manufacturing","967"
"11840","Connecticut","334513","Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables","2415"
"11841","Connecticut","334514","Totalizing fluid meter and counting device manufacturing","444"
"11842","Connecticut","334515","Instrument manufacturing for measuring and testing electricity and electrical systems","323"
"11843","Connecticut","334516","Analytical laboratory instrument manufacturing","929"
"11845","Connecticut","334519","Other measuring and controlling device manufacturing","1235"
"11855","Connecticut","335122","Commercial, industrial, and institutional electric lighting fixture manufacturing","398"
"11864","Connecticut","335313","Switchgear and switchboard apparatus manufacturing","254"
"11865","Connecticut","335314","Relay and industrial control manufacturing","914"
"11885","Connecticut","336310","Motor vehicle gasoline engine and engine parts manufacturing","243"
"11887","Connecticut","336320","Motor vehicle electrical and electronic equipment manufacturing","717"
"11893","Connecticut","336350","Motor vehicle transmission and power train parts manufacturing","79"
"11897","Connecticut","336370","Motor vehicle metal stamping","732"
"11943","Connecticut","339112","Surgical and medical instrument manufacturing","3925"
"11944","Connecticut","339113","Surgical appliance and supplies manufacturing","498"
"12310","Connecticut","483111","Deep sea freight transportation","297"
"12312","Connecticut","483113","Coastal and great lakes freight transportation","256"
"12321","Connecticut","484110","General freight trucking, local","1217"
"12323","Connecticut","484121","General freight trucking, long-distance, truckload","680"
"12358","Connecticut","486210","Pipeline transportation of natural gas","181"
"12481","Connecticut","518210","Data processing, hosting, and related services","3624"
"12647","Connecticut","541360","Geophysical surveying and mapping services","89"
"12649","Connecticut","541370","Surveying and mapping (except geophysical) services","306"
"12651","Connecticut","541380","Testing laboratories","1936"
"12849","Connecticut","621111","Offices of physicians (except mental health specialists)","30382"
"12853","Connecticut","621210","Offices of dentists","12480"
"12858","Connecticut","621320","Offices of optometrists","1258"
"12864","Connecticut","621391","Offices of podiatrists","666"
"12892","Connecticut","622110","General medical and surgical hospitals","64538"
"13403","Delaware","325211","Plastics material and resin manufacturing","343"
"13529","Delaware","332812","Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","30"
"13597","Delaware","334516","Analytical laboratory instrument manufacturing","1153"
"13599","Delaware","334519","Other measuring and controlling device manufacturing","76"
"14033","Delaware","483212","Inland water passenger transportation","9"
"14037","Delaware","484110","General freight trucking, local","363"
"14039","Delaware","484121","General freight trucking, long-distance, truckload","429"
"14051","Delaware","485113","Bus and other motor vehicle transit systems","90"
"14180","Delaware","518210","Data processing, hosting, and related services","898"
"14188","Delaware","519130","Internet publishing and broadcasting and web search portals","180"
"14343","Delaware","541380","Testing laboratories","296"
"14536","Delaware","621111","Offices of physicians (except mental health specialists)","8613"
"14540","Delaware","621210","Offices of dentists","2421"
"14545","Delaware","621320","Offices of optometrists","419"
"14551","Delaware","621391","Offices of podiatrists","172"
"14578","Delaware","622110","General medical and surgical hospitals","17841"
"15476","District of Columbia","517410","Satellite telecommunications","497"
"15484","District of Columbia","518210","Data processing, hosting, and related services","771"
"15492","District of Columbia","519130","Internet publishing and broadcasting and web search portals","1691"
"15818","District of Columbia","621111","Offices of physicians (except mental health specialists)","5433"
"15822","District of Columbia","621210","Offices of dentists","1673"
"15833","District of Columbia","621391","Offices of podiatrists","64"
"15861","District of Columbia","622110","General medical and surgical hospitals","23806"
"16455","Florida","325120","Industrial gas manufacturing","68"
"16479","Florida","325411","Medicinal and botanical manufacturing","811"
"16480","Florida","325412","Pharmaceutical preparation manufacturing","5238"
"16499","Florida","325920","Explosives manufacturing","604"
"16514","Florida","326130","Laminated plastics plate, sheet (except packaging), and shape manufacturing","209"
"16582","Florida","331315","Aluminum sheet, plate, and foil manufacturing","32"
"16598","Florida","331523","Nonferrous metal die-casting foundries","90"
"16600","Florida","331529","Other nonferrous metal foundries (except die-casting)","77"
"16606","Florida","332114","Custom roll forming","426"
"16626","Florida","332420","Metal tank (heavy gauge) manufacturing","209"
"16632","Florida","332510","Hardware manufacturing","682"
"16642","Florida","332722","Bolt, nut, screw, rivet, and washer manufacturing","361"
"16646","Florida","332812","Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","538"
"16647","Florida","332813","Electroplating, plating, polishing, anodizing, and coloring","844"
"16657","Florida","332993","Ammunition (except small arms) manufacturing","437"
"16658","Florida","332994","Small arms, ordnance, and ordnance accessories manufacturing","178"
"16669","Florida","333131","Mining machinery and equipment manufacturing","307"
"16674","Florida","333242","Semiconductor machinery manufacturing","160"
"16690","Florida","333511","Industrial mold manufacturing","742"
"16692","Florida","333515","Cutting tool and machine tool accessory manufacturing","415"
"16697","Florida","333611","Turbine and turbine generator set units manufacturing","776"
"16698","Florida","333612","Speed changer, industrial high-speed drive, and gear manufacturing","259"
"16703","Florida","333911","Pump and pumping equipment manufacturing","564"
"16704","Florida","333912","Air and gas compressor manufacturing","406"
"16725","Florida","334118","Computer terminal and other computer peripheral equipment manufacturing","1103"
"16735","Florida","334310","Audio and video equipment manufacturing","366"
"16740","Florida","334416","Capacitor, resistor, coil, transformer, and other inductor manufacturing","563"
"16741","Florida","334417","Electronic connector manufacturing","695"
"16742","Florida","334418","Printed circuit assembly (electronic assembly) manufacturing","2686"
"16746","Florida","334510","Electromedical and electrotherapeutic apparatus manufacturing","1557"
"16749","Florida","334513","Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables","555"
"16751","Florida","334515","Instrument manufacturing for measuring and testing electricity and electrical systems","538"
"16752","Florida","334516","Analytical laboratory instrument manufacturing","1191"
"16754","Florida","334519","Other measuring and controlling device manufacturing","1901"
"16757","Florida","334613","Blank magnetic and optical recording media manufacturing","124"
"16765","Florida","335122","Commercial, industrial, and institutional electric lighting fixture manufacturing","330"
"16778","Florida","335312","Motor and generator manufacturing","442"
"16779","Florida","335313","Switchgear and switchboard apparatus manufacturing","1307"
"16780","Florida","335314","Relay and industrial control manufacturing","1099"
"16783","Florida","335911","Storage battery manufacturing","601"
"16804","Florida","336212","Truck trailer manufacturing","269"
"16809","Florida","336310","Motor vehicle gasoline engine and engine parts manufacturing","583"
"16811","Florida","336320","Motor vehicle electrical and electronic equipment manufacturing","210"
"16815","Florida","336340","Motor vehicle brake system manufacturing","229"
"16819","Florida","336360","Motor vehicle seating and interior trim manufacturing","900"
"16821","Florida","336370","Motor vehicle metal stamping","305"
"16823","Florida","336390","Other motor vehicle parts manufacturing","890"
"16826","Florida","336411","Aircraft manufacturing","2785"
"16827","Florida","336412","Aircraft engine and engine parts manufacturing","2418"
"16828","Florida","336413","Other aircraft parts and auxiliary equipment manufacturing","3079"
"16837","Florida","336611","Ship building and repairing","3732"
"16868","Florida","339112","Surgical and medical instrument manufacturing","6322"
"16869","Florida","339113","Surgical appliance and supplies manufacturing","4671"
"17237","Florida","483111","Deep sea freight transportation","3345"
"17239","Florida","483113","Coastal and great lakes freight transportation","1381"
"17244","Florida","483212","Inland water passenger transportation","216"
"17248","Florida","484110","General freight trucking, local","7959"
"17250","Florida","484121","General freight trucking, long-distance, truckload","13376"
"17293","Florida","486910","Pipeline transportation of refined petroleum products","40"
"17318","Florida","488310","Port and harbor operations","2082"
"17320","Florida","488320","Marine cargo handling","4598"
"17413","Florida","517410","Satellite telecommunications","677"
"17421","Florida","518210","Data processing, hosting, and related services","18012"
"17429","Florida","519130","Internet publishing and broadcasting and web search portals","2757"
"17590","Florida","541360","Geophysical surveying and mapping services","277"
"17592","Florida","541370","Surveying and mapping (except geophysical) services","3282"
"17594","Florida","541380","Testing laboratories","3489"
"17792","Florida","621111","Offices of physicians (except mental health specialists)","161327"
"17796","Florida","621210","Offices of dentists","45223"
"17801","Florida","621320","Offices of optometrists","5413"
"17807","Florida","621391","Offices of podiatrists","2923"
"17835","Florida","622110","General medical and surgical hospitals","282269"
"18448","Georgia","325211","Plastics material and resin manufacturing","1588"
"18449","Georgia","325212","Synthetic rubber manufacturing","117"
"18451","Georgia","325220","Artificial and synthetic fibers and filaments manufacturing","1723"
"18461","Georgia","325411","Medicinal and botanical manufacturing","271"
"18462","Georgia","325412","Pharmaceutical preparation manufacturing","819"
